stunting,kemiskinan,ketidakcukupan
16.9,13.03,4.39
14.9,3.03,2.45
16.4,4.09,4.38
20.3,4.63,3.63
17.4,3.94,3.55
19.7,6.44,3.39
18.9,7.05,5.68
20.5,6.87,5.82
7.2,10.14,5.37
24.1,6.19,5.8
14.2,9.68,5.02
17,10.23,5.95
20.3,7.39,5.78
22.7,11.88,5.83
18,11,5.65
18,10.82,5.95
17,9.1,5.43
9.8,11.93,5.46
12.4,9.49,6.19
14.4,8.41,5.84
17.6,7.86,5.1
18.2,4.8,4.6
30.8,10.49,6.25
17.3,8.75,5.22
21.1,6.53,7.98
19.7,7.2,5.57
22.8,3.87,5.48
14.9,9.02,6.56
11.7,4.01,4.88
12.5,2.34,4.52
22.3,4.39,5.43
19.6,11.1,5.31
18.8,5.85,5.13
15.6,10.68,10.9
19.6,11.95,7.98
22.3,14.18,8.63
20.6,14.71,11.79
18,15.71,9.2
14.9,10.87,11.51
23.9,15.28,13.39
19.3,10.83,11.24
24.5,9.63,9.1
20.8,12.04,10.11
16.8,7.47,8.05
15.1,10.71,10.25
17.4,9.59,7.09
15.8,12.41,8.12
25.6,11.43,9.91
21.7,11.42,11.19
15.8,14.02,9.17
16.5,9.17,8.4
13.2,7.23,5.41
15.6,6.09,7.86
10,11.89,7.59
14.5,6.96,7.71
27.3,8.67,11.72
19.2,9.35,10.03
20.7,8.73,6.53
19.5,8.95,5.54
19.1,14.92,6.31
15.9,6.81,9.39
23.1,15.6,7.9
15.3,5.94,8.68
16.2,8.31,6.22
14,4.57,4.04
11.2,4.03,4.15
19.3,6.71,5.05
18,7.64,5.02
18,15.62,8.75
16.5,11.66,9.27
19.7,15.18,8.84
17.3,7.46,8.05
14.8,6.26,10.35
11.7,13.08,14.05
13.4,9.11,10.41
6.7,10.5,14.75
13.6,6.28,10.06
17.8,8.16,11.99
7.9,9.95,9.37
23.3,8.98,9.42
23.4,8.65,8.44
30.4,9.01,9.84
17.6,6.54,5.76
11.2,12.6,14.49
10.6,11.51,17.35
26.3,16.45,11.83
26.1,8.63,10.37
10.6,4.53,3.07
15.2,9.37,6.94
17.2,8.6,7.52
22.8,10.17,7.71
12.1,10.63,10.97
10.3,9.32,11.19
11.4,13.81,9.4
12,11.69,9.97
11.3,14.36,7.89
6.9,12.16,5.3
15.2,10.32,2.9
17.6,18.66,12.18
18.9,20.83,9.44
22.3,13.41,14.36
11.2,17.78,6.49
17.6,6.51,5.31
11.4,6.75,5.42
22.8,3.91,4.99
23.1,6.18,4.47
18.3,6.32,4.29
11.7,5.57,4.33
11.8,4.38,5.34
8.5,3.96,2.37
24.5,3.06,3.49
26.4,9.18,2.7
32.4,8.44,2.52
23.4,6.55,2.22
20.2,4.51,2.13
11.2,5.43,1.89
19,3.75,1.96
22.9,5.65,2.18
10.5,2.36,3.13
