z_stunting,z_kemiskinan,z_ketidakcukupan
-0.113076763,1.06380383,-1.491877167
-0.499747302,-1.62542283,-0.907350451
-0.209744397,-1.340364804,-0.600903367
0.544263154,-1.195146564,-1.262186872
-0.016409128,-1.380703203,-0.849249566
0.428261992,-0.708396539,-1.008114789
0.273593776,-0.544353712,1.67378839
0.582930208,-0.592759792,0.484151714
-1.988428877,0.286617325,0.961907528
1.278937178,-0.775627205,1.662168212
-0.63508199,0.162912899,0.391676811
-0.093743236,0.310820365,0.821099424
0.544263154,-0.452920006,-0.459309358
1.008267801,0.754542764,-0.470368174
0.099592034,0.517890818,0.931219782
0.099592034,0.469484738,-0.225595975
-0.093743236,0.006937753,-0.071333914
-1.485757176,0.767988897,0.009764068
-0.983085476,0.111817593,-0.378903721
-0.596414937,-0.178618887,-0.744686685
0.022257926,-0.326526353,-0.359274791
0.138259088,-1.149429711,-0.102957262
2.574283484,0.380740258,0.454436994
-0.035742655,-0.08718518,-1.228205807
0.698931369,-0.684193499,-0.976510152
0.428261992,-0.504015312,-1.264993678
1.027601328,-1.39952779,-0.319848522
-0.499747302,-0.01457606,-1.196301778
-1.118420164,-1.361878617,-0.771594599
-0.963751949,-1.810979469,-0.907107195
0.930933693,-1.259688004,-1.187544543
0.408928465,0.544783085,-0.930291413
0.254260249,-0.867060912,-1.354830184
-0.364412613,0.431835565,2.709555957
0.408928465,0.773367351,1.394848005
0.930933693,1.373064896,0.20429444
0.602263735,1.515593909,0.677727772
0.099592034,1.784516575,1.509758644
-0.499747302,0.482930872,0.615790918
1.240270124,1.668879828,0.312038368
0.350927884,0.472173965,1.88757345
1.356271286,0.149466766,0.768481167
0.640930788,0.797570391,1.465560805
-0.13241029,-0.431406193,0.392518853
-0.461080248,0.439903245,0.789476076
-0.016409128,0.138709859,0.040601511
-0.325745559,0.897071777,0.403240852
1.568940082,0.633527564,2.603028312
0.814932531,0.630838338,1.261169189
-0.325745559,1.330037269,-0.089690426
-0.19041087,0.025762339,0.945553205
-0.82841726,-0.495947633,0.233803327
-0.364412613,-0.802519472,1.631181074
-1.447090122,0.757231991,0.215502952
-0.57708141,-0.568556752,0.04838572
1.89761004,-0.108698994,0.909532527
0.331594357,0.074168419,0.477845757
0.621597262,-0.092563634,-0.126272465
0.389594938,-0.033400647,-0.219046761
0.31226083,1.572067669,0.792788107
-0.306412032,-0.608895152,1.387213492
1.085601908,1.754935081,2.029504276
-0.422413194,-0.842857872,-1.264750421
-0.248411451,-0.205511153,-0.704998448
-0.673749044,-1.211281924,-1.295382031
-1.215087799,-1.356500164,0.195368796
0.350927884,-0.635787419,-1.069602553
0.099592034,-0.385689339,-1.184531905
0.099592034,1.760313535,-0.473624069
-0.19041087,0.695379778,0.40303502
0.428261992,1.641987562,0.1600966
-0.035742655,-0.434095419,-0.371287921
-0.519080829,-0.756802618,-1.025404714
-1.118420164,1.077249963,-0.561084145
-0.789750206,0.009626979,0.001530771
-2.085096512,0.383429485,0.058097269
-0.751083152,-0.751424165,0.036578422
0.06092498,-0.245849553,0.743799986
-1.853094188,0.235522019,0.989545211
1.124268962,-0.025332967,2.636242183
1.143602489,-0.114077447,0.177498798
2.496949376,-0.017265287,3.267679984
0.022257926,-0.681504272,0.934943478
-1.215087799,0.948167084,0.505726697
-1.331088961,0.655041378,0.215615224
1.704274771,1.983519348,0.648293732
1.665607717,-0.1194559,0.66404927
-1.331088961,-1.222038831,0.155175334
-0.441746721,0.079546873,-0.321532605
-0.055076182,-0.12752358,0.284718789
1.027601328,0.294685005,0.460742952
-1.041086056,0.418389432,-0.512732233
-1.389089542,0.066100739,-0.467205839
-1.176420745,1.273563509,0.223698825
-1.060419583,0.703447458,0.223848522
-1.195754272,1.421470976,0.115374824
-2.046429458,0.829841111,-0.474634519
-0.441746721,0.335023405,-0.803012115
0.022257926,2.577838439,-0.314309758
0.273593776,3.161400624,-0.598676634
0.930933693,1.165994443,0.024097491
-1.215087799,2.341186493,-0.356561545
0.022257926,-0.689571952,-1.132381448
-1.176420745,-0.625030512,-1.360181827
1.027601328,-1.388770883,-0.685425653
1.085601908,-0.778316432,-1.297721037
0.157592615,-0.740667259,-1.261831343
-1.118420164,-0.942359258,-1.368302853
-1.099086637,-1.26237723,-1.328801735
-1.737093027,-1.37532475,-0.03791421
1.356271286,-1.61735515,-1.334415348
1.723608298,0.028451566,-0.534288504
2.883619915,-0.170551207,-0.564676857
1.143602489,-0.678815045,0.812098933
0.524929627,-1.227417284,-0.776515866
-1.215087799,-0.980008431,-0.555264701
0.292927303,-1.43179851,-1.306104031
1.046934854,-0.920845445,-1.190108093
-1.350422488,-1.805601016,-0.997430214
