kemiskinan,ketidakcukupan,stunting
10.71,122127,15.1
7.39,55390,20.3
10.82,67880,18.0
15.18,88492,19.7
4.38,8923,11.8
6.53,27750,21.1
6.71,22775,19.3
10.49,104222,30.8
14.71,116155,20.6
8.67,128543,27.3
9.01,254566,30.4
4.39,16472,22.3
5.94,12346,15.3
6.26,25137,14.8
6.19,168765,24.1
10.68,224739,15.6
4.51,38438,20.2
15.62,54625,18.0
4.01,38701,11.7
11.43,219046,25.6
11.51,91459,10.6
6.44,26061,19.7
8.16,119686,17.8
7.64,16633,18.0
15.28,96612,23.9
14.02,75143,15.8
14.18,90854,22.3
9.1,76124,17.0
4.03,90377,11.2
11.95,154479,19.6
16.45,114582,26.3
6.87,105810,20.5
7.47,100913,16.8
6.55,123336,23.4
9.95,132819,7.9
9.02,16004,14.9
8.41,40139,14.4
11.69,91899,12.0
3.91,43306,22.8
7.2,12333,19.7
10.14,131342,7.2
11.88,54799,22.7
12.6,106963,11.2
4.63,12483,20.3
11.93,80458,9.8
10.87,112845,14.9
10.63,52535,12.1
7.05,169386,18.9
6.28,81891,13.6
17.78,60881,11.2
13.81,91891,11.4
6.96,82522,14.5
9.17,130468,16.5
3.96,77910,8.5
12.41,101486,15.8
8.65,89422,23.4
15.6,188396,23.1
5.43,50262,11.2
8.98,220821,23.3
3.75,10136,19.0
9.63,121005,24.5
8.95,68230,19.5
11.42,147335,21.7
13.41,81224,22.3
8.73,73188,20.7
10.5,83041,6.7
5.85,7532,18.8
9.18,51383,26.4
14.92,122304,19.1
8.31,42260,16.2
18.66,63139,17.6
15.71,160620,18.0
2.34,31459,12.5
6.18,10584,23.1
3.03,31446,14.9
6.09,167109,15.6
4.8,74434,18.2
4.09,47823,16.4
8.75,14299,17.3
6.75,7246,11.4
20.83,47942,18.9
4.53,88229,10.6
5.57,6812,11.7
9.11,80018,13.4
8.63,115424,26.1
6.54,129901,17.6
2.36,26632,10.5
7.86,60736,17.6
6.81,154071,15.9
7.46,60094,17.3
6.32,12502,18.3
11.0,129702,18.0
9.32,54968,10.3
7.23,92431,13.2
6.51,19420,17.6
