stunting,kemiskinan,ketidakcukupan,ketidakcukupan_scaled
16.9,13.03,0.0,0.0
14.9,3.03,12.281115592983118,12.281115592983118
16.4,4.09,18.71967856328482,18.71967856328482
20.3,4.63,4.825875341054734,4.825875341054734
17.4,3.94,13.50183599493627,13.50183599493627
19.7,6.44,10.164020789595767,10.164020789595767
18.9,7.05,66.51176687975216,66.51176687975216
20.5,6.87,41.517074359760656,41.517074359760656
7.2,10.14,51.5548950691545,51.5548950691545
24.1,6.19,66.26762279936152,66.26762279936152
14.2,9.68,39.57414352998529,39.57414352998529
17.0,10.23,48.59646639775435,48.59646639775435
20.3,7.39,21.69461939471139,21.69461939471139
22.7,11.88,21.462269714339634,21.462269714339634
18.0,11.0,50.910134534789556,50.910134534789556
18.0,10.82,26.6050212692347,26.6050212692347
17.0,9.1,29.846122394420462,29.846122394420462
9.8,11.93,31.550020050480033,31.550020050480033
12.4,9.49,23.38397062408102,23.38397062408102
14.4,8.41,15.698739571784651,15.698739571784651
17.6,7.86,23.79638147807421,23.79638147807421
18.2,4.8,29.181704526690726,29.181704526690726
30.8,10.49,40.89275745209508,40.89275745209508
17.3,8.75,5.539829688863727,5.539829688863727
21.1,6.53,10.828045510658207,10.828045510658207
19.7,7.2,4.766903340960379,4.766903340960379
22.8,3.87,24.624741506066254,24.624741506066254
14.9,9.02,6.210144756602898,6.210144756602898
11.7,4.01,15.133394664213432,15.133394664213432
12.5,2.34,12.286226499657962,12.286226499657962
22.3,4.39,6.394137396897287,6.394137396897287
19.6,11.1,11.799117778878589,11.799117778878589
18.8,5.85,2.8794061912737168,2.8794061912737168
15.6,10.68,88.27361435457112,88.27361435457112
19.6,11.95,60.65112951037514,60.65112951037514
22.3,14.18,35.63717280368615,35.63717280368615
20.6,14.71,45.58417663293468,45.58417663293468
18.0,15.71,63.06544319423805,63.06544319423805
14.9,10.87,44.28286116418591,44.28286116418591
23.9,15.28,37.90091131397479,37.90091131397479
19.3,10.83,71.00346755360555,71.00346755360555
24.5,9.63,47.490937969318836,47.490937969318836
20.8,12.04,62.136830766085595,62.136830766085595
16.8,7.47,39.5918351300136,39.5918351300136
15.1,10.71,47.93204853002461,47.93204853002461
17.4,9.59,32.19792575818335,32.19792575818335
15.8,12.41,39.81710817037404,39.81710817037404
25.6,11.43,86.03543037765668,86.03543037765668
21.7,11.42,57.842489719214655,57.842489719214655
15.8,14.02,29.46044551380338,29.46044551380338
16.5,9.17,51.211284881938056,51.211284881938056
13.2,7.23,36.25716509801146,36.25716509801146
15.6,6.09,65.61657191831985,65.61657191831985
10.0,11.89,35.87266765739627,35.87266765739627
14.5,6.96,32.36147477177836,32.36147477177836
27.3,8.67,50.45447754739383,50.45447754739383
19.2,9.35,41.384583932882,41.384583932882
20.7,8.73,28.691843779240283,28.691843779240283
19.5,8.95,26.742622602788195,26.742622602788195
19.1,14.92,48.00163549013595,48.00163549013595
15.9,6.81,60.49072567011849,60.49072567011849
23.1,15.6,73.98548502504345,73.98548502504345
15.3,5.94,4.772014247635223,4.772014247635223
16.2,8.31,16.532603653118834,16.532603653118834
14.0,4.57,4.12843315327216,4.12843315327216
11.2,4.03,35.44964184338609,35.44964184338609
19.3,6.71,8.872140840862091,8.872140840862091
18.0,7.64,6.457434010331895,6.457434010331895
18.0,15.62,21.393862194230177,21.393862194230177
16.5,11.66,39.81278355703379,39.81278355703379
19.7,15.18,34.7085603755337,34.7085603755337
17.3,7.46,23.543981317670372,23.543981317670372
14.8,6.26,9.800753269014537,9.800753269014537
11.7,13.08,19.556294671290072,19.556294671290072
13.4,9.11,31.377035516869924,31.377035516869924
6.7,10.5,32.56551789210483,32.56551789210483
13.6,6.28,32.113399224714776,32.113399224714776
17.8,8.16,46.972377515155806,46.972377515155806
7.9,9.95,52.13557269675025,52.13557269675025
23.3,8.98,86.73326571210656,86.73326571210656
23.4,8.65,35.0741867761187,35.0741867761187
30.4,9.01,100.0,100.0
17.6,6.54,50.98837072158139,50.98837072158139
11.2,12.6,41.97037246715259,41.97037246715259
10.6,11.51,35.87502653740004,35.87502653740004
26.3,16.45,44.96575692527854,44.96575692527854
26.1,8.63,45.296786419141526,45.296786419141526
10.6,4.53,34.605162802034926,34.605162802034926
15.2,9.37,24.58935830600964,24.58935830600964
17.2,8.6,37.32691717972307,37.32691717972307
22.8,10.17,41.02524787897373,41.02524787897373
12.1,10.63,20.572185659582164,20.572185659582164
10.3,9.32,21.528711501112603,21.528711501112603
11.4,13.81,36.044865897671784,36.044865897671784
12.0,11.69,36.04801107101015,36.04801107101015
11.3,14.36,33.76893984069697,33.76893984069697
6.9,12.16,21.372632274196214,21.372632274196214
15.2,10.32,14.47330140982395,14.47330140982395
17.6,18.66,24.74111291958578,24.74111291958578
18.9,20.83,18.76646301669301,18.76646301669301
22.3,13.41,31.851170397628543,31.851170397628543
11.2,17.78,23.853387744832087,23.853387744832087
17.6,6.51,7.553133772085014,7.553133772085014
11.4,6.75,2.766966244427146,2.766966244427146
22.8,3.91,16.943835067110136,16.943835067110136
23.1,6.18,4.079289819860197,4.079289819860197
18.3,6.32,4.833345127733352,4.833345127733352
11.7,5.57,2.5963405908208115,2.5963405908208115
11.8,4.38,3.4262732054820373,3.4262732054820373
8.5,3.96,30.548282342210587,30.548282342210587
24.5,3.06,3.308329205293327,3.308329205293327
26.4,9.18,20.119280698857516,20.119280698857516
32.4,8.44,19.480810511169295,19.480810511169295
23.4,6.55,48.40736285078511,48.40736285078511
20.2,4.51,15.02999709071466,15.02999709071466
11.2,5.43,19.678563284819035,19.678563284819035
19.0,3.75,3.903160112911723,3.903160112911723
22.9,5.65,6.340276303477775,6.340276303477775
10.5,2.36,10.388507536621612,10.388507536621612
