stunting,kemiskinan,ketidakcukupan
16.9,13.03,0
14.9,3.03,12.28111559
16.4,4.09,18.71967856
20.3,4.63,4.825875341
17.4,3.94,13.50183599
19.7,6.44,10.16402079
18.9,7.05,66.51176688
20.5,6.87,41.51707436
7.2,10.14,51.55489507
24.1,6.19,66.2676228
14.2,9.68,39.57414353
17,10.23,48.5964664
20.3,7.39,21.69461939
22.7,11.88,21.46226971
18,11,50.91013453
18,10.82,26.60502127
17,9.1,29.84612239
9.8,11.93,31.55002005
12.4,9.49,23.38397062
14.4,8.41,15.69873957
17.6,7.86,23.79638148
18.2,4.8,29.18170453
30.8,10.49,40.89275745
17.3,8.75,5.539829689
21.1,6.53,10.82804551
19.7,7.2,4.766903341
22.8,3.87,24.62474151
14.9,9.02,6.210144757
11.7,4.01,15.13339466
12.5,2.34,12.2862265
22.3,4.39,6.394137397
19.6,11.1,11.79911778
18.8,5.85,2.879406191
15.6,10.68,88.27361435
19.6,11.95,60.65112951
22.3,14.18,35.6371728
20.6,14.71,45.58417663
18,15.71,63.06544319
14.9,10.87,44.28286116
23.9,15.28,37.90091131
19.3,10.83,71.00346755
24.5,9.63,47.49093797
20.8,12.04,62.13683077
16.8,7.47,39.59183513
15.1,10.71,47.93204853
17.4,9.59,32.19792576
15.8,12.41,39.81710817
25.6,11.43,86.03543038
21.7,11.42,57.84248972
15.8,14.02,29.46044551
16.5,9.17,51.21128488
13.2,7.23,36.2571651
15.6,6.09,65.61657192
10,11.89,35.87266766
14.5,6.96,32.36147477
27.3,8.67,50.45447755
19.2,9.35,41.38458393
20.7,8.73,28.69184378
19.5,8.95,26.7426226
19.1,14.92,48.00163549
15.9,6.81,60.49072567
23.1,15.6,73.98548503
15.3,5.94,4.772014248
16.2,8.31,16.53260365
14,4.57,4.128433153
11.2,4.03,35.44964184
19.3,6.71,8.872140841
18,7.64,6.45743401
18,15.62,21.39386219
16.5,11.66,39.81278356
19.7,15.18,34.70856038
17.3,7.46,23.54398132
14.8,6.26,9.800753269
11.7,13.08,19.55629467
13.4,9.11,31.37703552
6.7,10.5,32.56551789
13.6,6.28,32.11339922
17.8,8.16,46.97237752
7.9,9.95,52.1355727
23.3,8.98,86.73326571
23.4,8.65,35.07418678
30.4,9.01,100
17.6,6.54,50.98837072
11.2,12.6,41.97037247
10.6,11.51,35.87502654
26.3,16.45,44.96575693
26.1,8.63,45.29678642
10.6,4.53,34.6051628
15.2,9.37,24.58935831
17.2,8.6,37.32691718
22.8,10.17,41.02524788
12.1,10.63,20.57218566
10.3,9.32,21.5287115
11.4,13.81,36.0448659
12,11.69,36.04801107
11.3,14.36,33.76893984
6.9,12.16,21.37263227
15.2,10.32,14.47330141
17.6,18.66,24.74111292
18.9,20.83,18.76646302
22.3,13.41,31.8511704
11.2,17.78,23.85338774
17.6,6.51,7.553133772
11.4,6.75,2.766966244
22.8,3.91,16.94383507
23.1,6.18,4.07928982
18.3,6.32,4.833345128
11.7,5.57,2.596340591
11.8,4.38,3.426273205
8.5,3.96,30.54828234
24.5,3.06,3.308329205
26.4,9.18,20.1192807
32.4,8.44,19.48081051
23.4,6.55,48.40736285
20.2,4.51,15.02999709
11.2,5.43,19.67856328
19,3.75,3.903160113
22.9,5.65,6.340276303
10.5,2.36,10.38850754
