stunting,kemiskinan,ketidakcukupan
16.9,13.03,0.01
14.9,3.03,12.28
16.4,4.09,18.72
20.3,4.63,4.83
17.4,3.94,13.50
19.7,6.44,10.16
18.9,7.05,66.51
20.5,6.87,41.52
7.2,10.14,51.55
24.1,6.19,66.27
14.2,9.68,39.57
17,10.23,48.60
20.3,7.39,21.69
22.7,11.88,21.46
18,11,50.91
18,10.82,26.61
17,9.1,29.85
9.8,11.93,31.55
12.4,9.49,23.38
14.4,8.41,15.70
17.6,7.86,23.80
18.2,4.8,29.18
30.8,10.49,40.89
17.3,8.75,5.54
21.1,6.53,10.83
19.7,7.2,4.77
22.8,3.87,24.62
14.9,9.02,6.21
11.7,4.01,15.13
12.5,2.34,12.29
22.3,4.39,6.39
19.6,11.1,11.80
18.8,5.85,2.88
15.6,10.68,88.27
19.6,11.95,60.65
22.3,14.18,35.64
20.6,14.71,45.58
18,15.71,63.07
14.9,10.87,44.28
23.9,15.28,37.90
19.3,10.83,71.00
24.5,9.63,47.49
20.8,12.04,62.14
16.8,7.47,39.59
15.1,10.71,47.93
17.4,9.59,32.20
15.8,12.41,39.82
25.6,11.43,86.04
21.7,11.42,57.84
15.8,14.02,29.46
16.5,9.17,51.21
13.2,7.23,36.26
15.6,6.09,65.62
10,11.89,35.87
14.5,6.96,32.36
27.3,8.67,50.45
19.2,9.35,41.38
20.7,8.73,28.69
19.5,8.95,26.74
19.1,14.92,48.00
15.9,6.81,60.49
23.1,15.6,73.99
15.3,5.94,4.77
16.2,8.31,16.53
14,4.57,4.13
11.2,4.03,35.45
19.3,6.71,8.87
18,7.64,6.46
18,15.62,21.39
16.5,11.66,39.81
19.7,15.18,34.71
17.3,7.46,23.54
14.8,6.26,9.80
11.7,13.08,19.56
13.4,9.11,31.38
6.7,10.5,32.57
13.6,6.28,32.11
17.8,8.16,46.97
7.9,9.95,52.14
23.3,8.98,86.73
23.4,8.65,35.07
30.4,9.01,100.00
17.6,6.54,50.99
11.2,12.6,41.97
10.6,11.51,35.88
26.3,16.45,44.97
26.1,8.63,45.30
10.6,4.53,34.61
15.2,9.37,24.59
17.2,8.6,37.33
22.8,10.17,41.03
12.1,10.63,20.57
10.3,9.32,21.53
11.4,13.81,36.04
12,11.69,36.05
11.3,14.36,33.77
6.9,12.16,21.37
15.2,10.32,14.47
17.6,18.66,24.74
18.9,20.83,18.77
22.3,13.41,31.85
11.2,17.78,23.85
17.6,6.51,7.55
11.4,6.75,2.77
22.8,3.91,16.94
23.1,6.18,4.08
18.3,6.32,4.83
11.7,5.57,2.60
11.8,4.38,3.43
8.5,3.96,30.55
24.5,3.06,3.31
26.4,9.18,20.12
32.4,8.44,19.48
23.4,6.55,48.41
20.2,4.51,15.03
11.2,5.43,19.68
19,3.75,3.90
22.9,5.65,6.34
10.5,2.36,10.39
