stunting,kemiskinan,ketidakcukupan
15.1,10.71,46.54
20.3,7.39,19.61
18,10.82,24.65
19.7,15.18,32.97
11.8,4.38,0.85
21.1,6.53,8.45
19.3,6.71,6.44
30.8,10.49,39.32
20.6,14.71,44.13
27.3,8.67,49.13
30.4,9.01,100.00
22.3,4.39,3.90
15.3,5.94,2.23
14.8,6.26,7.40
24.1,6.19,65.37
15.6,10.68,87.96
20.2,4.51,12.77
18,15.62,19.30
11.7,4.01,12.87
25.6,11.43,85.66
10.6,11.51,34.17
19.7,6.44,7.77
17.8,8.16,45.56
18,7.64,3.96
23.9,15.28,36.25
15.8,14.02,27.58
22.3,14.18,33.92
17,9.1,27.98
11.2,4.03,33.73
19.6,11.95,59.60
26.3,16.45,43.50
20.5,6.87,39.96
16.8,7.47,37.98
23.4,6.55,47.03
7.9,9.95,50.86
14.9,9.02,3.71
14.4,8.41,13.45
12,11.69,34.34
22.8,3.91,14.73
19.7,7.2,2.23
7.2,10.14,50.26
22.7,11.88,19.37
11.2,12.6,40.42
20.3,4.63,2.29
9.8,11.93,29.73
14.9,10.87,42.80
12.1,10.63,18.45
18.9,7.05,65.62
13.6,6.28,30.30
11.2,17.78,21.82
11.4,13.81,34.34
14.5,6.96,30.56
16.5,9.17,49.91
8.5,3.96,28.70
15.8,12.41,38.21
23.4,8.65,33.34
23.1,15.6,73.29
11.2,5.43,17.54
23.3,8.98,86.38
19,3.75,1.34
24.5,9.63,46.09
19.5,8.95,24.79
21.7,11.42,56.72
22.3,13.41,30.03
20.7,8.73,26.79
6.7,10.5,30.77
18.8,5.85,0.29
26.4,9.18,17.99
19.1,14.92,46.62
16.2,8.31,14.31
17.6,18.66,22.74
18,15.71,62.08
12.5,2.34,9.95
23.1,6.18,1.52
14.9,3.03,9.94
15.6,6.09,64.70
18.2,4.8,27.29
16.4,4.09,16.55
17.3,8.75,3.02
11.4,6.75,0.18
18.9,20.83,16.60
10.6,4.53,32.86
11.7,5.57,0.01
13.4,9.11,29.55
26.1,8.63,43.84
17.6,6.54,49.68
10.5,2.36,8.00
17.6,7.86,21.77
15.9,6.81,59.44
17.3,7.46,21.51
18.3,6.32,2.30
18,11,49.60
10.3,9.32,19.44
13.2,7.23,34.56
17.6,6.51,5.09
