stunting,kemiskinan,ketidakcukupan
15.1,10.71,0.4654415266756541
20.3,7.39,0.19607352454450785
18.0,10.82,0.24648643412417157
19.7,15.18,0.32968186184683196
11.8,4.38,0.008520548608700567
21.1,6.53,0.08451124906156914
19.3,6.71,0.06443084672699533
30.8,10.49,0.39317225958006735
20.6,14.71,0.4413369713506139
27.3,8.67,0.49133818222914666
30.4,9.01,1.0
22.3,4.39,0.03899028875416744
15.3,5.94,0.022336672667242506
14.8,6.26,0.07396449704142012
24.1,6.19,0.6536847033751221
15.6,10.68,0.8796104200134004
20.2,4.51,0.12765081492125252
18.0,15.62,0.19298578428602564
11.7,4.01,0.12871235176828627
25.6,11.43,0.8566319817238067
10.6,11.51,0.3416574505356119
19.7,6.44,0.07769400292225352
17.8,8.16,0.45558901168094157
18.0,7.64,0.03964012690007023
23.9,15.28,0.36245630746627705
15.8,14.02,0.2758018034017614
22.3,14.18,0.3392155121612567
17.0,9.1,0.2797613762038151
11.2,4.03,0.3372902152942031
19.6,11.95,0.5960226676461329
26.3,16.45,0.4349879315772904
20.5,6.87,0.39958184328002777
16.8,7.47,0.3798162693639659
23.4,6.55,0.4703213671625887
7.9,9.95,0.5085972375824407
14.9,9.02,0.037101318243095975
14.4,8.41,0.13451649620187767
12.0,11.69,0.3434334057169612
22.8,3.91,0.14729933724581643
19.7,7.2,0.02228420126415719
7.2,10.14,0.5026356789395933
22.7,11.88,0.19368809383501376
11.2,12.6,0.40423565310751797
20.3,4.63,0.022889640530526247
9.8,11.93,0.2972545347401051
14.9,10.87,0.4279769448727367
12.1,10.63,0.18454999717461676
18.9,7.05,0.65619122193789
13.6,6.28,0.3030384978648175
11.2,17.78,0.21823663795539122
11.4,13.81,0.3434011156227548
14.5,6.96,0.3055853790453434
16.5,9.17,0.4991079861475496
8.5,3.96,0.28697013973538266
15.8,12.41,0.38212904736149567
23.4,8.65,0.3334355852983201
23.1,15.6,0.7329205582957288
11.2,5.43,0.1753755741582376
23.3,8.98,0.8637963463758406
19.0,3.75,0.013416534142738362
24.5,9.63,0.4609128409632135
19.5,8.95,0.24789912574569936
21.7,11.42,0.5671876135198625
22.3,13.41,0.3003463112603631
20.7,8.73,0.2679109116300847
6.7,10.5,0.3076801989069803
18.8,5.85,0.0029061084785714864
26.4,9.18,0.17990022360890237
19.1,14.92,0.46615594500996954
16.2,8.31,0.14307740742833616
17.6,18.66,0.22735051704513348
18.0,15.71,0.6208093512112821
12.5,2.34,0.09948174398798809
23.1,6.18,0.015224779418293952
14.9,3.03,0.09942927258490276
15.6,6.09,0.6470006538744076
18.2,4.8,0.27294009380272366
16.4,4.09,0.1655311316870767
17.3,8.75,0.030219491915367665
11.4,6.75,0.001751737610694479
18.9,20.83,0.16601144683839614
10.6,4.53,0.3286203249997982
11.7,5.57,0.0
13.4,9.11,0.29547857955875584
26.1,8.63,0.4383864639925087
17.6,6.54,0.49681942572067456
10.5,2.36,0.07999870839623174
17.6,7.86,0.21765137999790116
15.9,6.81,0.594375872841609
17.3,7.46,0.21506009993784156
18.3,6.32,0.022966329504266327
18.0,11.0,0.4960162096272916
10.3,9.32,0.19437022207512292
13.2,7.23,0.3455806969816834
17.6,6.51,0.05088918846920736
